Periodo	Agricultura	Pecuária	Produção_florestal_pesca_e_aquicultura	Indústrias_extrativas	Indústrias_de_transformação	Eletricidade_e_gás_água_esgoto_atividades_de_gestão_de_resíduos_e_descontaminação	Construção	Comércio_e_reparação_de_veículos_automotores_e_motocicletas	Transporte_armazenagem_e_correio	Alojamento_e_alimentação	Informação_e_comunicação	Atividades_financeiras,_de_seguros_e_serviços_relacionados	Atividades_imobiliárias	Atividades_profissionais,_científicas_e_técnicas,_administrativas_e_serviços_complementares	Administração,_defesa,_educação_e_saúde_públicas_e_seguridade_social	Educação_e_saúde_privadas	Artes_cultura_esporte_e_recreação_e_outras_atividades_de_serviços	Serviços_domésticos	Impostos																						
2º trimestre 2016	847213093 	137131471 	477168957 	81813393 	5174243653 	424376328 	868717912 	2081129385 	696131051 	409904372 	267502293 	369763392 	1578866400 	878106929 	3780172625 	368633125 	224590097 	202124646 	3263875245 																						
3º trimestre 2016	857509722 	138798102 	482968243 	82807715 	5237128971 	429533998 	879275900 	2106422451 	704591500 	414886156 	270753390 	374257322 	1598055198 	888779027 	3826115061 	373113318 	227319659 	204581173 	3303542846 																						
4º trimestre 2016	888559891 	143823940 	500456378 	85806157 	5426763835 	445087295 	911114216 	2182695374 	730104546 	429909059 	280557289 	387809067 	1655920296 	920961448 	3964657536 	386623639 	235550835 	211988996 	3423163139 																						
1º trimestre 2017	781105195 	130439882 	441270009 	108113998 	4975570219 	486907765 	719285721 	2154650016 	721073484 	443425532 	280560914 	399943058 	1586874871 	997194216 	3940811209 	375910680 	224993264 	181172574 	3558896197 																						
2º trimestre 2017	802946116 	134087185 	453608607 	111137034 	5114694930 	500522466 	739398073 	2214897395 	741235824 	455824402 	288405835 	411126090 	1631246370 	1025077323 	4051002443 	386421729 	231284427 	186238442 	3658408491 																						
3º trimestre 2017	809841334 	135238645 	457503925 	112091412 	5158616855 	504820652 	745747579 	2233917602 	747601112 	459738748 	290882491 	414656594 	1645254533 	1033880071 	4085790017 	389740087 	233270559 	187837746 	3689824704 																						
4º trimestre 2017	841834840 	140581369 	475578027 	116519683 	5362412626 	524764043 	775209004 	2322170514 	777135762 	477901138 	302374064 	431037973 	1710251784 	1074724427 	4247202804 	405137117 	242486121 	195258444 	3835594527 																						
1º trimestre 2018	711808641 	135775420 	477146221 	332270467 	5224235470 	715664327 	678300045 	2240666095 	771564516 	491075986 	298371447 	431563264 	1697781443 	1041374230 	4181069453 	402209143 	237694250 	195865233 	3782743464 																						
2º trimestre 2018	733805752 	139971304 	491891530 	342538663 	5385680668 	737780590 	699261636 	2309909678 	795408271 	506251769 	307592056 	444899917 	1750248194 	1073555947 	4310277562 	414638662 	245039745 	201918081 	3899642055 																						
3º trimestre 2018	747942493 	142667846 	501367802 	349137657 	5489435606 	751993906 	712732885 	2354410002 	810731781 	516004690 	313517806 	453470897 	1783966661 	1094237963 	4393314898 	422626660 	249760427 	205808025 	3974768514 																						
4º trimestre 2018	769727009 	146823179 	515970602 	359306614 	5649320490 	773896423 	733491889 	2422984369 	834345093 	531033804 	322649302 	466678656 	1835926338 	1126108655 	4521274254 	434936052 	257034930 	211802374 	4090537320 																						
1º trimestre 2019	645066452 	135757575 	400425844 	386331823 	5662821652 	1054042453 	735251183 	2266159290 	801753529 	496378569 	306009124 	478218903 	1617862378 	1071411609 	4558014992 	432223443 	311452441 	202005608 	4148444986 																						
2º trimestre 2019	670445329 	141098691 	416179815 	401531292 	5885614282 	1095511690 	764178201 	2355316890 	833296952 	515907611 	318048453 	497033489 	1681514006 	1113564201 	4737341168 	449228428 	323705928 	209953123 	4311657431 																						
3º trimestre 2019	690798069 	145382030 	428813805 	413720596 	6064284146 	1128768188 	787376394 	2426817354 	858593386 	531569043 	327703465 	512121958 	1732559804 	1147368721 	4881152852 	462865677 	333532684 	216326680 	4442546615 																						
4º trimestre 2019	708003330 	149002966 	439493993 	424024868 	6215323353 	1156881688 	806987069 	2487260525 	879977817 	544808489 	335865363 	524877049 	1775711552 	1175945492 	5002724573 	474393973 	341839767 	221714589 	4553194253 																						
1º trimestre 2020	672472529 	158521057 	428126835 	291498087 	6515134256 	1083634974 	933094921 	2466881438 	844915464 	379565517 	395591061 	513602311 	1886372379 	1119948941 	4975629705 	520251874 	253987941 	185230451 	4938160301 																						
2º trimestre 2020	630876201 	148715609 	401644705 	273467239 	6112135392 	1016605862 	875377585 	2314290504 	792652539 	356087187 	371121458 	481833027 	1769689299 	1050673599 	4667858132 	488071276 	238277313 	173772872 	4632706428 																						
3º trimestre 2020	692683569 	163285378 	440994109 	300259009 	6710945430 	1116203426 	961138920 	2541023110 	870309245 	390973289 	407480478 	529038535 	1943066957 	1153608802 	5125171350 	535887950 	261621503 	190797518 	5086575810 																						
4º trimestre 2020	735498772 	173378149 	468252230 	318818206 	7125753153 	1185196656 	1020547516 	2698085334 	924103602 	415139592 	432667101 	561738737 	2063169138 	1224914082 	5441961388 	569011518 	277792491 	202590832 	5400980234 																						
